block,experiment,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,1.0,0,132900,0.825292062259556,0.8232260777134782,0.9066688164934408,0.937896466172149,0.7908717256610024,0.8712599734042553,0.0126054672368316,0.2432599395958332,0.8245155825362651,0.8229868833169856,0.9042480052579662,0.9339112687125892,0.7830807925894117,0.8771609042553191,0.2827348826023741,0.4394534162835911
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,1.0,1,132900,0.825292062259556,0.8232260777134782,0.9066688164934408,0.937896466172149,0.7908717256610024,0.8712599734042553,0.0126054672368316,0.2432599395958332,0.8245155825362651,0.8229868833169856,0.9042480052579662,0.9339112687125892,0.7830807925894117,0.8771609042553191,0.2827348826023741,0.4394534162835911
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,1.0,2,132900,0.825292062259556,0.8232260777134782,0.9066688164934408,0.937896466172149,0.7908717256610024,0.8712599734042553,0.0126054672368316,0.2432599395958332,0.8245155825362651,0.8229868833169856,0.9042480052579662,0.9339112687125892,0.7830807925894117,0.8771609042553191,0.2827348826023741,0.4394534162835911
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.01,0,1329,0.801538841633431,0.798326221834899,0.8886069218358226,0.924792068812235,0.752039752162444,0.8660239361702128,0.0461364578552512,0.2718341294588773,0.8014682525676773,0.7993457790925859,0.8851077361377777,0.915722300501838,0.7746150542911477,0.8375997340425532,0.2476913287609415,0.4267093665102818
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.01,1,1329,0.8173154978293862,0.8146986425197575,0.896536806089432,0.9318676511956904,0.7621004846328446,0.8800698138297872,0.0266667300431214,0.2570096147749205,0.8121272014964882,0.810433654472862,0.890465042731682,0.9213310362148932,0.7665173915710692,0.8719248670212766,0.2620890077503917,0.4305374511333148
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.01,2,1329,0.8160096001129425,0.8144153873375191,0.8932367805231894,0.928068904911127,0.7643702840316545,0.8813164893617021,0.0440588640334826,0.2650009831713789,0.8134683937458088,0.8121873278094005,0.8871764201052474,0.9153813407031556,0.7724066008220355,0.8670212765957447,0.2584910472575982,0.4258584799233098
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.05,0,6645,0.8205625948540571,0.8184546776479396,0.9004861236649103,0.934012485342863,0.7798294583154408,0.8716755319148937,0.0149764231590635,0.2503671685621677,0.8206331839198108,0.8191134588405979,0.8995624090620011,0.9298497280858992,0.794307097724066,0.8575465425531915,0.2780835401509573,0.4388777832067363
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.05,1,6645,0.8208096565841951,0.8190270347905029,0.9024605122287238,0.93527649870663,0.7786025397214895,0.8738364361702128,0.0169984390426083,0.2491163943856365,0.8203861221896728,0.8191568085043028,0.899934537999072,0.928393880087584,0.7779277344948162,0.8770777925531915,0.2772462613922052,0.4382483510738566
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.05,2,6645,0.8255038294568171,0.8234918178725015,0.9035164861475672,0.9358738084792724,0.7698914177044354,0.8937001329787234,0.0207789464771176,0.2467110437633077,0.8226096777609149,0.8209337835327515,0.9003100166931086,0.9301941557730664,0.7693393043371572,0.8855551861702128,0.2774912322309361,0.4356035509876937
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.1,0,13290,0.8214449581759785,0.8193709715225979,0.9036920297279764,0.9360321151847044,0.786700202441568,0.8647772606382979,0.0141890344210412,0.2469891324429977,0.8211273073800869,0.8196188226441418,0.901801117413662,0.9317414468616788,0.7836942518863873,0.8707613031914894,0.2787019816679263,0.4387709798045435
